1616678272,0,0
1621336449,3,0
1621347258,4,0
1621350851,6,0
1621354412,8,0
1621358020,12,0
1621361625,14,0
1621365258,17,0
1621422901,18,0
1621437271,20,0
1621440809,23,0
1621444404,28,2
1621448011,29,4
1621451605,29,5
1621480426,29,6
1621484063,29,7
1621527198,29,8
1621559614,28,8
1621566814,29,7
1621876418,29,8
1622168012,30,8
1622409224,30,9
1624389347,29,9
1624396502,30,8
1625073279,30,9
1625606091,30,8
1626718637,30,9
1627499803,31,9
1627643820,31,8
1628075849,31,7
1628360272,30,7
1628536641,31,7
1628608800,31,8
1628695251,30,7
1628896980,30,6
1629159505,29,6
1629170316,30,5
1629224305,30,4
1629314379,30,3
1629656301,29,3
1629667085,30,3
1629746331,30,4
1629749972,30,5
1629767941,30,6
1629818432,30,4
1629922736,29,4
1629994901,30,3
1630001997,30,4
1630074127,30,3
1630174708,31,2
1630289918,31,3
1630358319,30,3
1630423302,30,2
1630506073,30,1
1630531129,31,0
1630545515,30,0
