ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor1,Days1,Room1,MeetingDates1,Instructor2,Days2,Room2,MeetingDates2,Instructor3,Days3,Room3,MeetingDates3,Instructor4,Days4,Room4,MeetingDates4,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description,Instruction Mode
10006,AAS,101,000F,Discussion,"4","Nilaja Troy","We 6:00PM - 6:50PM","New Cabell Hall 235","08/26/2008 - 12/05/2008","","","","","","","","","","","","","African-Amer & African Stds I","",Closed,0,20,0,"","In Person"
10007,AAS,101,00BN,Discussion,"4","Justin Rose","We 1:00PM - 1:50PM","New Cabell Hall 134","08/26/2008 - 12/05/2008","","","","","","","","","","","","","African-Amer & African Stds I","",Closed,0,20,0,"","In Person"
10005,AAS,101,02GF,Discussion,"4","Justin Rose","Fr 9:00AM - 9:50AM","New Cabell Hall 225","08/26/2008 - 12/05/2008","","","","","","","","","","","","","African-Amer & African Stds I","",Closed,0,20,0,"","In Person"
10003,AAS,101,02SA,Lecture,"4","Karen Fields","TuTh 12:30PM - 1:45PM","Minor Hall 125","08/26/2008 - 12/05/2008","","","","","","","","","","","","","African-Amer & African Stds I","",Closed,120,120,0,"","In Person"
10009,AAS,101,04VR,Discussion,"4","Justin Rose","We 2:00PM - 2:50PM","New Cabell Hall 122","08/26/2008 - 12/05/2008","","","","","","","","","","","","","African-Amer & African Stds I","",Closed,0,20,0,"","In Person"
10004,AAS,101,019V,Discussion,"4","Nilaja Troy","We 5:00PM - 5:50PM","New Cabell Hall 222","08/26/2008 - 12/05/2008","","","","","","","","","","","","","African-Amer & African Stds I","",Closed,0,20,0,"","In Person"
10008,AAS,101,0397,Discussion,"4","Nilaja Troy","Th 6:00PM - 6:50PM","New Cabell Hall 130","08/26/2008 - 12/05/2008","","","","","","","","","","","","","African-Amer & African Stds I","",Closed,0,20,0,"","In Person"
10010,AAS,300Z,05H0,Lecture,"3","Marina Markot","TBA","TBA","08/26/2008 - 12/05/2008","","","","","","","","","","","","","Introduction to Pan-Africanism","",Closed,1,25,0,"","In Person"
10011,AAS,307,06C8,Lecture,"3","Lisa Shutt","Mo 3:30PM - 6:00PM","Cocke Hall 115","08/26/2008 - 12/05/2008","","","","","","","","","","","","","Afro-Brazilian History","",Closed,25,20,0,"","In Person"
10012,AAS,310Z,05H1,Lecture,"3","Marina Markot","TBA","TBA","08/26/2008 - 12/05/2008","","","","","","","","","","","","","Introduction to Black Urban","",Closed,0,25,0,"","In Person"
