ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor1,Days1,Room1,MeetingDates1,Instructor2,Days2,Room2,MeetingDates2,Instructor3,Days3,Room3,MeetingDates3,Instructor4,Days4,Room4,MeetingDates4,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description,Instruction Mode
10010,AAS,206,002R,Lecture,"3","Sonya Donaldson","MoTuWeThFr 10:30AM - 12:45PM","Bryan Hall 312","05/12/2008 - 06/06/2008","","","","","","","","","","","","","Non-UVa Transfer/Test Credit","",Closed,4,15,0,"","In Person"
10011,AAS,207,403W,Lecture,"3","Todne Thomas","MoTuWeThFr 10:30AM - 12:45PM","Bryan Hall 330","07/10/2008 - 08/07/2008","","","","","","","","","","","","","Kinfolk in African Diaspora","",Closed,11,15,0,"","In Person"
10012,AAS,401,2017,Independent Study,"3","Staff","TBA","TBA","06/10/2008 - 08/07/2008","","","","","","","","","","","","","Independent Study","",Closed,0,15,0,"","In Person"
10013,AAS,402,2018,Independent Study,"3","Staff","TBA","TBA","06/10/2008 - 08/07/2008","","","","","","","","","","","","","Independent Study","",Closed,0,15,0,"","In Person"
10014,ACCT,201,6675,Lecture,"3","Marshall Kasten","MoTh 6:30PM - 10:00PM","TBA","05/19/2008 - 07/03/2008","","","","","","","","","","","","","Introductory Accounting I","",Closed,14,24,0,"","In Person"
10015,ACCT,202,6676,Lecture,"3","Cory Kirchert","Sa 9:00AM - 1:30PM","TBA","06/07/2008 - 08/16/2008","","","","","","","","","","","","","Introductory Accounting II","",Closed,14,24,0,"","In Person"
10016,ACCT,311,6677,Lecture,"3","Molly Parker","Mo 6:30PM - 10:00PM","TBA","06/02/2008 - 08/18/2008","","","","","","","","","","","","","Intermediate Accounting I","",Open,11,24,0,"","In Person"
10017,ACCT,314,6678,Lecture,"3","William Cardine","MoTh 6:30PM - 10:00PM","TBA","05/19/2008 - 07/03/2008","","","","","","","","","","","","","Cost Accounting","",Open,10,24,0,"","In Person"
10018,ACCT,445,6679,Lecture,"3","Thomas Hughes","WeFr 6:30PM - 10:00PM","TBA","05/21/2008 - 07/02/2008","","","","","","","","","","","","","Federal Taxation I","",Closed,14,24,0,"","In Person"
10019,ACCT,521,6690,Lecture,"3","Karen Young","MoTh 6:30PM - 10:00PM","TBA","05/19/2008 - 07/03/2008","","","","","","","","","","","","","Introductory Auditing","",Open,11,24,0,"","In Person"
10020,ACCT,546W,6700,Lecture,"3","Gary Dittmer","MoTuWeThFrSa 1:00AM - 11:59PM","TBA","06/02/2008 - 08/22/2008","","","","","","","","","","","","","Federal Taxation II","",Open,12,24,0,"","In Person"
10021,ALAR,501,3045,Lecture,"1","William Sherman","MoTuWeThFr 2:00PM - 6:00PM","Campbell Hall 302","07/14/2008 - 08/11/2008","William Sherman","MoTuWeThFr 2:00PM - 6:00PM","TBA","07/14/2008 - 08/11/2008","","","","","","","","","Intro to Design (Institute)","",Closed,20,30,0,"","In Person"
10022,ALAR,502,3046,Lecture,"1","William Sherman","MoTuWeThFr 2:00PM - 6:00PM","Campbell Hall 302","07/14/2008 - 08/11/2008","William Sherman","MoTuWeThFr 2:00PM - 6:00PM","TBA","07/14/2008 - 08/11/2008","","","","","","","","","Intro Des Graphics (Institute)","",Closed,20,30,0,"","In Person"
10023,ALAR,503,3047,Lecture,"1","William Sherman","TuTh 9:00AM - 12:00PM","Campbell Hall 302","07/14/2008 - 08/11/2008","","","","","","","","","","","","","Intro Theory&Analy (Institute)","",Closed,20,30,0,"","In Person"
10001,AM,693,2294,Independent Study,"3 - 6","Staff","TBA","TBA","06/10/2008 - 08/07/2008","","","","","","","","","","","","","Independent Study","",Closed,0,15,0,"","In Person"
10002,AM,695,2295,Independent Study,"1 - 6","Staff","TBA","TBA","06/10/2008 - 08/07/2008","","","","","","","","","","","","","Supervised Project Research","",Closed,0,15,0,"","In Person"
10003,AM,793,2296,Independent Study,"3 - 6","Staff","TBA","TBA","06/10/2008 - 08/07/2008","","","","","","","","","","","","","Independent Study","",Closed,0,15,0,"","In Person"
10004,AM,795,2246,Independent Study,"1 - 6","Staff","TBA","TBA","06/10/2008 - 08/07/2008","","","","","","","","","","","","","Supervised Project Research","",Closed,0,15,0,"","In Person"
10005,AM,895,2297,Independent Study,"3 - 6","Staff","TBA","TBA","06/10/2008 - 08/07/2008","","","","","","","","","","","","","Supervised Project Research","",Closed,0,15,0,"","In Person"
10006,AM,897,2298,Independent Study,"3 - 6","Staff","TBA","TBA","06/10/2008 - 08/07/2008","","","","","","","","","","","","","Graduate Teaching Instruction","",Closed,0,15,0,"","In Person"
10007,AM,898,2299,Independent Study,"3 - 6","Staff","TBA","TBA","06/10/2008 - 08/07/2008","","","","","","","","","","","","","Masters Thesis Research","",Closed,0,15,0,"","In Person"
10008,AM,997,2300,Independent Study,"3 - 6","Staff","TBA","TBA","06/10/2008 - 08/07/2008","","","","","","","","","","","","","Graduate Teaching Instruction","",Closed,0,15,0,"","In Person"
