ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor1,Days1,Room1,MeetingDates1,Instructor2,Days2,Room2,MeetingDates2,Instructor3,Days3,Room3,MeetingDates3,Instructor4,Days4,Room4,MeetingDates4,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description,Instruction Mode
10004,AAS,102,0203,Lecture,"4","Claudrena Harold","TuTh 12:30PM - 1:45PM","Wilson Hall 301","01/17/2007 - 05/01/2007","","","","","","","","","","","","","Crosscurrents African Diaspora","",Closed,109,118,0,"","In Person"
10005,AAS,102,5924,Lecture,"4","Claudrena Harold","TuTh 12:30PM - 1:45PM","Wilson Hall 301","01/17/2007 - 05/01/2007","","","","","","","","","","","","","Crosscurrents African Diaspora","",Closed,1,1,0,"","In Person"
10006,AAS,205Z,603J,Lecture,"3","Staff","MoTuWeThFr 8:30AM - 7:30PM","TBA","01/02/2007 - 01/14/2007","","","","","","","","","","","","","Education and Social Change","",Closed,15,17,0,"","In Person"
10007,AAS,305,00NM,Lecture,"3","Andrew Lawrence","Tu 3:30PM - 6:00PM","Wilson Hall 141A","01/17/2007 - 05/01/2007","","","","","","","","","","","","","African Pol Lit and Film","",Closed,7,12,0,"","In Person"
10009,AAS,305,5567,Lecture,"3","Andrew Lawrence","Tu 3:30PM - 6:00PM","Wilson Hall 141A","01/17/2007 - 05/01/2007","","","","","","","","","","","","","African Pol Lit and Film","",Closed,0,1,0,"","In Person"
10008,AAS,305,5928,Lecture,"3","Andrew Lawrence","Tu 3:30PM - 6:00PM","Wilson Hall 141A","01/17/2007 - 05/01/2007","","","","","","","","","","","","","African Pol Lit and Film","",Closed,1,1,0,"","In Person"
10010,AAS,307,00MG,Lecture,"3","Roquinaldo Ferreira","TuTh 12:30PM - 1:45PM","Gilmer Hall 141","01/17/2007 - 05/01/2007","","","","","","","","","","","","","Afro-Brazilian History","",Closed,13,12,0,"","In Person"
10011,AAS,401,01S2,Independent Study,"1 - 12","Staff","TBA","TBA","01/17/2007 - 05/01/2007","","","","","","","","","","","","","Independent Study","",Closed,4,10,0,"","In Person"
10012,AAS,406,00NN,Seminar,"3","Regine Jean-Charles","Mo 3:30PM - 6:00PM","Minor Hall 108","01/17/2007 - 05/01/2007","","","","","","","","","","","","","Adv Sem Afr Am & Afr Stds","",Closed,4,12,0,"","In Person"
10013,AAS,406,00NP,Seminar,"3","Kenrick Grandison","We 3:30PM - 6:00PM","New Cabell Hall 432","01/17/2007 - 05/01/2007","","","","","","","","","","","","","Adv Sem Afr Am & Afr Stds","",Closed,8,12,0,"","In Person"
