ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor1,Days1,Room1,MeetingDates1,Instructor2,Days2,Room2,MeetingDates2,Instructor3,Days3,Room3,MeetingDates3,Instructor4,Days4,Room4,MeetingDates4,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description,Instruction Mode
10002,AAS,100,0489,Lecture,"3","Claudrena Harold","Th 1:00PM - 3:30PM","Pavilion VIII 108","08/23/2006 - 12/05/2006","","","","","","","","","","","","","Black Nationalism","",Closed,7,5,0,"","In Person"
10004,AAS,101,02WP,Lecture,"4","Roquinaldo Ferreira, ","TuTh 12:30PM - 1:45PM","Wilson Hall 301","08/23/2006 - 12/05/2006","","","","","","","","","","","","","African-Amer & African Stds I","",Closed,116,120,0,"","In Person"
10003,AAS,101,5561,Lecture,"4","Roquinaldo Ferreira, ","TuTh 12:30PM - 1:45PM","Wilson Hall 301","08/23/2006 - 12/05/2006","","","","","","","","","","","","","African-Amer & African Stds I","",Closed,1,1,0,"","In Person"
10005,AAS,323,03EB,Lecture,"3","Edward Ayers","MoWe 9:00AM - 9:50AM","Minor Hall 125","08/23/2006 - 12/05/2006","","","","","","","","","","","","","Rise & Fall of the Slave South","",Closed,22,27,0,"","In Person"
10006,AAS,401,02TP,Independent Study,"3","Staff","TBA","TBA","08/23/2006 - 12/05/2006","","","","","","","","","","","","","Independent Study","",Closed,2,10,0,"","In Person"
10007,AAS,401,04NA,Independent Study,"1","Staff","TBA","TBA","08/23/2006 - 12/05/2006","","","","","","","","","","","","","Independent Study","",Closed,1,10,0,"","In Person"
10008,AAS,405B,031H,Lecture,"3","Alwin Jones","We 1:00PM - 3:30PM","New Cabell Hall 426","08/23/2006 - 12/05/2006","","","","","","","","","","","","","From Black Arts to Hip-Hop","",Closed,11,10,0,"","In Person"
10009,AAS,405C,053U,Lecture,"3","Vicki Brennan","Tu 2:00PM - 4:30PM","New Cabell Hall 319","08/23/2006 - 12/05/2006","","","","","","","","","","","","","Religion Pol & State in Africa","",Closed,11,12,0,"","In Person"
10010,AAS,405D,053V,Lecture,"3","Angela Figueiredo","TuTh 11:00AM - 12:15PM","Minor Hall 108","08/23/2006 - 12/05/2006","","","","","","","","","","","","","Race Class & Gender in Brazil","",Closed,7,12,0,"","In Person"
10011,AAS,451,025Y,Independent Study,"3","Staff","TBA","TBA","08/23/2006 - 12/05/2006","","","","","","","","","","","","","Directed Research/Dmp","",Closed,1,10,0,"","In Person"
10012,AAS,452,03AS,Independent Study,"3","Staff","TBA","TBA","08/23/2006 - 12/05/2006","","","","","","","","","","","","","Thesis/Dmp","",Closed,1,10,0,"","In Person"
10013,ACCT,201,6700,Lecture,"3","Marshall Kasten","Tu 7:00PM - 10:00PM","TBA","09/05/2006 - 12/05/2006","","","","","","","","","","","","","Introductory Accounting I","",Open,31,32,0,"","In Person"
10014,ACCT,202,6701,Lecture,"3","David Capitano","Mo 6:30PM - 9:30PM","TBA","09/11/2006 - 12/11/2006","","","","","","","","","","","","","Introductory Accounting II","",Closed,7,24,0,"","In Person"
10015,ACCT,311,6702,Lecture,"3","Melinda Decorte","Mo 6:30PM - 9:30PM","TBA","09/11/2006 - 12/11/2006","","","","","","","","","","","","","Intermediate Accounting I","",Closed,21,25,0,"","In Person"
10016,ACCT,312,6703,Lecture,"3","James Foster","Th 6:30PM - 9:30PM","TBA","09/07/2006 - 12/14/2006","","","","","","","","","","","","","Intermediate Accounting II","",Open,30,31,0,"","In Person"
10017,ACCT,314,6704,Lecture,"3","William Cardine","Tu 6:30PM - 9:30PM","TBA","09/05/2006 - 12/05/2006","","","","","","","","","","","","","Cost Accounting","",Closed,12,24,0,"","In Person"
10018,ACCT,445,6705,Lecture,"3","Thomas Hughes","Tu 6:30PM - 9:30PM","TBA","09/12/2006 - 12/05/2006","","","","","","","","","","","","","Federal Taxation I","",Closed,18,24,0,"","In Person"
10019,ACCT,521,6706,Lecture,"3","Karen Young","Th 6:30PM - 9:30PM","TBA","09/07/2006 - 12/14/2006","","","","","","","","","","","","","Introductory Auditing","",Closed,10,24,0,"","In Person"
10020,ACCT,531,6707,Lecture,"3","Molly Parker","Mo 6:30PM - 9:30PM","TBA","09/11/2006 - 12/11/2006","","","","","","","","","","","","","Topics in Advanced Accounting","",Closed,17,24,0,"","In Person"
10021,ACCT,533,6708,Lecture,"3","Richard Evans","We 6:30PM - 9:30PM","TBA","09/06/2006 - 12/13/2006","","","","","","","","","","","","","Acct for Non-Bus Organizations","",Closed,10,24,0,"","In Person"
10022,ACCT,546W,6709,Lecture,"3","Gary Dittmer","MoTuWeThFr 1:00AM - 11:59PM","TBA","09/05/2006 - 12/15/2006","","","","","","","","","","","","","Federal Taxation II","",Closed,0,0,0,"","In Person"
10023,AIRS,110,00NF,Lecture,"1","Ryan Taylor","We 9:00AM - 9:50AM","Astronomy Bldg 139","08/23/2006 - 12/05/2006","Ryan Taylor","Tu 2:00PM - 4:00PM","Chemistry Bldg 402","08/23/2006 - 12/05/2006","","","","","","","","","The Air Force Today","",Closed,9,15,0,"","In Person"
