ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor1,Days1,Room1,MeetingDates1,Instructor2,Days2,Room2,MeetingDates2,Instructor3,Days3,Room3,MeetingDates3,Instructor4,Days4,Room4,MeetingDates4,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description,Instruction Mode
10004,AAS,100,043Q,Lecture,"3","Leonard Perry","Th 3:30PM - 6:00PM","New Cabell Hall 330","08/28/2007 - 12/07/2007","","","","","","","","","","","","","Black Nationalism","",Closed,17,12,0,"","In Person"
10005,AAS,101,02UM,Lecture,"4","Roquinaldo Ferreira","TuTh 12:30PM - 1:45PM","Wilson Hall 301","08/28/2007 - 12/07/2007","","","","","","","","","","","","","African-Amer & African Stds I","",Closed,120,120,0,"","In Person"
10006,AAS,215,05Q0,Lecture,"3","Maurice Apprey","Th 3:30PM - 6:00PM","Clark Hall 101","08/28/2007 - 12/07/2007","","","","","","","","","","","","","Culture & World Politics","",Closed,20,20,0,"","In Person"
10007,AAS,215D,05Q1,Discussion,"1","Lisa Speidel","Th 6:00PM - 6:50PM","Clark Hall 101","08/28/2007 - 12/07/2007","","","","","","","","","","","","","Culture & World Politics Disc","",Closed,20,20,0,"","In Person"
10008,AAS,250,05PH,Lecture,"3","Wende Marshall","TuTh 11:00AM - 12:15PM","Mcleod Hall 1020","08/28/2007 - 12/07/2007","","","","","","","","","","","","","Health of Black Folks","",Closed,17,10,0,"","In Person"
10009,AAS,401,04F1,Independent Study,"1","Staff","TBA","TBA","08/28/2007 - 12/07/2007","","","","","","","","","","","","","Independent Study","",Closed,0,10,0,"","In Person"
10010,AAS,405A,03X4,Lecture,"3","Alwin Jones","We 1:00PM - 3:30PM","New Cabell Hall 331","08/28/2007 - 12/07/2007","","","","","","","","","","","","","Race and American Islam","",Closed,1,12,0,"","In Person"
10011,AAS,405B,0466,Lecture,"3","Z'Etoile Imma","Tu 3:30PM - 6:00PM","New Cabell Hall B026","08/28/2007 - 12/07/2007","","","","","","","","","","","","","From Black Arts to Hip-Hop","",Closed,12,12,0,"","In Person"
10012,AAS,451,023M,Independent Study,"3","Staff","TBA","TBA","08/28/2007 - 12/07/2007","","","","","","","","","","","","","Directed Research/Dmp","",Closed,2,10,0,"","In Person"
10013,ACCT,201,6701,Lecture,"3","Marshall Kasten","Tu 7:00PM - 10:00PM","TBA","09/11/2007 - 12/11/2007","","","","","","","","","","","","","Introductory Accounting I","",Open,26,30,0,"","In Person"
10014,ACCT,202,6702,Lecture,"3","David Capitano","Mo 6:30PM - 9:30PM","TBA","09/10/2007 - 12/10/2007","","","","","","","","","","","","","Introductory Accounting II","",Closed,19,24,0,"","In Person"
10015,ACCT,311,6004,Lecture,"3","Rebecca Adams","Th 6:00PM - 9:00PM","TBA","09/20/2007 - 12/20/2007","","","","","","","","","","","","","Intermediate Accounting I","",Closed,5,20,0,"","In Person"
10016,ACCT,311,6703,Lecture,"3","Noah Kaufman","Mo 6:30PM - 9:30PM","TBA","09/10/2007 - 12/10/2007","","","","","","","","","","","","","Intermediate Accounting I","",Closed,21,24,0,"","In Person"
10017,ACCT,312,6704,Lecture,"3","Cory Kirchert","Th 6:30PM - 9:30PM","TBA","09/06/2007 - 12/13/2007","","","","","","","","","","","","","Intermediate Accounting II","",Closed,27,30,0,"","In Person"
10018,ACCT,314,6705,Lecture,"3","William Cardine","Tu 6:30PM - 9:30PM","TBA","09/11/2007 - 12/11/2007","","","","","","","","","","","","","Cost Accounting","",Open,13,24,0,"","In Person"
10019,ACCT,445,6706,Lecture,"3","Thomas Hughes","Tu 6:30PM - 9:30PM","TBA","09/11/2007 - 12/11/2007","","","","","","","","","","","","","Federal Taxation I","",Open,19,24,0,"","In Person"
10020,ACCT,521,6707,Lecture,"3","Karen Young","Th 6:30PM - 9:30PM","TBA","09/06/2007 - 12/13/2007","","","","","","","","","","","","","Introductory Auditing","",Closed,12,24,0,"","In Person"
10021,ACCT,531,6708,Lecture,"3","Molly Parker","Mo 6:30PM - 9:30PM","TBA","09/10/2007 - 12/10/2007","","","","","","","","","","","","","Topics in Advanced Accounting","",Closed,12,24,0,"","In Person"
10022,ACCT,533,6709,Lecture,"3","Richard Evans","We 6:30PM - 9:30PM","TBA","09/05/2007 - 12/12/2007","","","","","","","","","","","","","Acct for Non-Bus Organizations","",Closed,19,24,0,"","In Person"
10023,ACCT,546W,6710,Lecture,"3","Gary Dittmer","MoTuWeThFrSa 1:00AM - 11:59AM","TBA","09/04/2007 - 12/14/2007","","","","","","","","","","","","","Federal Taxation II","",Closed,0,0,0,"","In Person"
