ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor1,Days1,Room1,MeetingDates1,Instructor2,Days2,Room2,MeetingDates2,Instructor3,Days3,Room3,MeetingDates3,Instructor4,Days4,Room4,MeetingDates4,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description,Instruction Mode
10002,AAS,401Z,5982,Lecture,"3","Roquinaldo Ferreira","MoTuWeThFr 8:00AM - 10:00PM","TBA","05/25/2007 - 07/06/2007","","","","","","","","","","","","","Independent Study","",Closed,8,15,0,"","In Person"
10003,AAS,405Z,5983,Lecture,"3","Roquinaldo Ferreira","MoTuWeThFr 8:00AM - 10:00PM","TBA","05/25/2007 - 07/06/2007","","","","","","","","","","","","","Adv Grammar, Conv & Comp.","",Closed,8,15,0,"","In Person"
10004,AAS,406A,004F,Lecture,"3","Matthew Hughey","MoTuWeThFr 10:30AM - 12:45PM","New Cabell Hall 323","05/14/2007 - 06/08/2007","","","","","","","","","","","","","Mapping Race Place & Diaspora","",Closed,4,25,0,"","In Person"
10005,ACCT,201,6701,Lecture,"3","Marshall Kasten","MoTh 7:00PM - 10:00PM","TBA","06/11/2007 - 07/30/2007","","","","","","","","","","","","","Introductory Accounting I","",Closed,14,24,0,"","In Person"
10006,ACCT,202,6702,Lecture,"3","Melinda Decorte","MoTh 6:30PM - 9:30PM","TBA","06/11/2007 - 07/30/2007","","","","","","","","","","","","","Introductory Accounting II","",Closed,9,24,0,"","In Person"
10007,ACCT,311,6703,Lecture,"3","Noah Kaufman","Mo 6:30PM - 10:00PM","TBA","06/11/2007 - 08/27/2007","","","","","","","","","","","","","Intermediate Accounting I","",Closed,24,26,0,"","In Person"
10008,ACCT,314,6704,Lecture,"3","William Cardine","MoTh 6:30PM - 9:30PM","TBA","06/11/2007 - 07/30/2007","","","","","","","","","","","","","Cost Accounting","",Closed,13,24,0,"","In Person"
10009,ACCT,445,6705,Lecture,"3","Thomas Hughes","TuTh 6:30PM - 9:30PM","TBA","05/22/2007 - 07/10/2007","","","","","","","","","","","","","Federal Taxation I","",Closed,10,24,0,"","In Person"
10010,ACCT,521,6706,Lecture,"3","Karen Young","MoTh 6:30PM - 9:30PM","TBA","06/11/2007 - 07/30/2007","","","","","","","","","","","","","Introductory Auditing","",Open,5,24,0,"","In Person"
10011,ACCT,546W,6707,Lecture,"3","Gary Dittmer","MoTuWeThFrSa 1:00AM - 11:00PM","TBA","06/04/2007 - 08/24/2007","","","","","","","","","","","","","Federal Taxation II","",Closed,11,24,0,"","In Person"
