1487597975,0,0
1491304154,4,0
1491336604,5,0
1491340225,15,0
1491343761,19,0
1491354562,20,0
1491394140,23,0
1491401356,24,0
1491419350,25,0
1491423094,29,0
1491426718,40,0
1491606576,39,0
1491613766,38,0
1492376975,37,0
1492434577,36,0
1492531806,38,0
1492538987,39,0
1492542577,40,0
1492603794,41,0
1493068151,40,0
1493230162,41,0
1493233813,42,0
1494950565,43,0
1496426912,42,0
1496833701,41,0
1496941685,42,0
1497312513,43,0
1497496080,42,0
1497546529,41,0
1497625265,42,0
1497964134,41,0
1498604927,40,0
1498734495,39,0
1499807337,40,0
1499879374,41,0
1499890177,42,0
1499969349,43,0
1499976531,44,0
1500214126,45,0
1500347353,46,0
1502219290,45,0
1502809396,46,0
1502831396,47,0
1502849312,48,0
1502852931,49,0
1503151723,50,0
1503418125,49,0
1503428918,48,0
1503454120,49,0
1503493711,48,0
1503522557,49,0
1503540503,48,0
1503590942,50,0
1503702546,49,0
1503871711,48,0
1503922128,47,0
1503950908,48,0
1504030120,47,0
1504620549,48,0
1504663719,49,0
