1413562034,0,0
1414761136,17,0
1415038311,18,0
1415045507,19,0
1415049110,17,0
1415056309,16,0
1415117506,17,0
1415124709,18,0
1415826736,44,0
1415985142,43,0
1415988738,44,0
1416093112,44,1
1416247950,43,1
1416255146,44,0
1416280336,44,1
1416330738,44,2
1417061524,43,2
1417090296,44,1
1417579941,43,1
1417608706,44,1
1421122367,43,1
1421151136,44,0
1421255570,43,3
1421259167,42,3
1421262768,41,3
1421273563,44,0
1421377956,44,1
1421507548,43,1
1421511149,44,0
1421687568,43,0
1421694767,44,0
1421755938,44,1
1421781178,44,0
1421788375,42,0
1421791963,43,0
1421802820,44,0
1421842342,43,0
1421845952,44,0
1421863977,43,0
1422303180,42,0
1422632523,42,0
